Retailer,State,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Order Month
West Gear,Utah,Women's Street Footwear,10.0,350,3500,1225,In-store,2021,2021-09
Amazon,Ohio,Women's Athletic Footwear,25.0,350,8750,3500,Online,2021,2021-04
Walmart,Mississippi,Women's Athletic Footwear,25.0,350,8750,3500,Online,2021,2021-10
Sports Direct,Mississippi,Men's Athletic Footwear,25.0,350,8750,3063,Online,2021,2021-02
Walmart,Arkansas,Women's Street Footwear,10.0,350,3500,1400,Online,2021,2021-03
Walmart,Arkansas,Women's Apparel,25.0,350,8750,3500,Online,2021,2021-03
Walmart,Arkansas,Women's Street Footwear,15.0,350,5250,2100,Online,2021,2021-09
West Gear,Oklahoma,Women's Apparel,20.0,350,7000,2800,Online,2021,2021-02
West Gear,Oklahoma,Men's Athletic Footwear,20.0,350,7000,2450,Online,2021,2021-10
Kohl's,Oklahoma,Men's Athletic Footwear,25.0,350,8750,3063,Online,2021,2021-01
Kohl's,Oklahoma,Women's Street Footwear,15.0,350,5250,1838,Online,2021,2021-01
Kohl's,Oklahoma,Women's Apparel,25.0,350,8750,3063,Online,2021,2021-01
West Gear,West Virginia,Women's Apparel,25.0,350,8750,3500,In-store,2021,2021-02
Foot Locker,New York,Women's Street Footwear,32.0,350,1120,414,Outlet,2020,2020-01
Foot Locker,New York,Women's Apparel,36.0,350,1260,365,Outlet,2020,2020-01
Walmart,New York,Men's Athletic Footwear,43.0,350,1505,497,Outlet,2020,2020-04
Walmart,New York,Women's Apparel,45.0,350,1575,473,Outlet,2020,2020-04
Walmart,Texas,Women's Apparel,38.0,350,1330,758,Outlet,2020,2020-08
Foot Locker,Georgia,Men's Street Footwear,26.0,349,907,426,Outlet,2021,2021-01
Foot Locker,New York,Women's Apparel,46.0,347,1596,511,Outlet,2020,2020-03
West Gear,Utah,Women's Street Footwear,20.0,345,6900,2415,In-store,2021,2021-11
West Gear,California,Men's Street Footwear,41.0,341,1398,601,Outlet,2021,2021-01
Foot Locker,New York,Men's Athletic Footwear,41.0,340,1394,474,Outlet,2020,2020-03
Walmart,New York,Women's Apparel,48.0,340,1632,490,Outlet,2020,2020-07
West Gear,California,Men's Street Footwear,41.0,338,1386,527,Outlet,2021,2021-01
Foot Locker,New York,Men's Street Footwear,47.0,336,1579,963,Online,2020,2020-01
Foot Locker,New York,Women's Apparel,39.0,333,1299,351,Outlet,2020,2020-02
Walmart,New York,Women's Street Footwear,42.0,333,1399,559,Outlet,2020,2020-05
Walmart,Texas,Men's Street Footwear,32.0,333,1066,426,Outlet,2020,2020-10
Walmart,Texas,Men's Athletic Footwear,34.0,333,1132,476,Outlet,2020,2020-10
West Gear,California,Men's Athletic Footwear,46.0,332,1527,321,Outlet,2021,2021-02
Sports Direct,Texas,Women's Street Footwear,35.0,332,1162,546,Outlet,2021,2021-09
Foot Locker,New York,Women's Apparel,38.0,330,1254,401,Outlet,2020,2020-01
Walmart,New York,Women's Apparel,50.0,330,1650,462,Outlet,2020,2020-04
Foot Locker,South Carolina,Men's Street Footwear,62.0,326,2021,1152,Online,2021,2021-08
Foot Locker,Missouri,Women's Athletic Footwear,25.0,325,8125,3250,In-store,2021,2021-08
Foot Locker,Missouri,Women's Athletic Footwear,25.0,325,8125,3250,In-store,2021,2021-11
West Gear,Missouri,Women's Athletic Footwear,20.0,325,6500,2600,In-store,2021,2021-01
West Gear,Utah,Men's Athletic Footwear,25.0,325,8125,2844,In-store,2021,2021-04
West Gear,Utah,Women's Street Footwear,15.0,325,4875,1706,In-store,2021,2021-04
West Gear,Utah,Women's Athletic Footwear,10.0,325,3250,1300,In-store,2021,2021-09
West Gear,Utah,Men's Apparel,20.0,325,6500,2275,In-store,2021,2021-09
Amazon,Ohio,Women's Athletic Footwear,25.0,325,8125,3250,Online,2021,2021-03
Foot Locker,Mississippi,Women's Athletic Footwear,25.0,325,8125,3250,Online,2021,2021-02
Walmart,Arkansas,Men's Athletic Footwear,20.0,325,6500,2275,Online,2021,2021-03
Walmart,Arkansas,Women's Athletic Footwear,15.0,325,4875,1950,Online,2021,2021-09
Walmart,Arkansas,Men's Apparel,25.0,325,8125,2844,Online,2021,2021-09
West Gear,Arkansas,Women's Street Footwear,15.0,325,4875,1950,Online,2021,2021-02
Kohl's,Kansas,Women's Apparel,20.0,325,6500,2275,Online,2021,2021-02
Kohl's,Kansas,Men's Athletic Footwear,20.0,325,6500,2275,Online,2021,2021-10
West Gear,West Virginia,Women's Street Footwear,20.0,325,6500,2600,In-store,2021,2021-03
Foot Locker,New York,Men's Street Footwear,58.0,325,1885,1150,Online,2020,2020-03
Foot Locker,New York,Women's Athletic Footwear,40.0,324,1296,518,Outlet,2020,2020-03
Sports Direct,Florida,Men's Street Footwear,63.0,323,2035,1140,Online,2020,2020-05
Foot Locker,New York,Women's Street Footwear,32.0,323,1034,393,Outlet,2020,2020-01
Foot Locker,New York,Women's Apparel,36.0,323,1163,314,Outlet,2020,2020-01
Walmart,Texas,Men's Athletic Footwear,33.0,323,1066,448,Outlet,2020,2020-08
Walmart,New York,Women's Apparel,53.0,322,1707,478,Outlet,2020,2020-05
West Gear,California,Men's Street Footwear,40.0,322,1288,425,Outlet,2021,2021-02
Sports Direct,Texas,Women's Street Footwear,33.0,322,1063,446,Outlet,2021,2021-09
Sports Direct,Tennessee,Women's Street Footwear,30.0,322,966,483,Outlet,2021,2021-04
Sports Direct,Alabama,Women's Street Footwear,31.0,322,998,559,Outlet,2021,2021-09
West Gear,Arkansas,Women's Street Footwear,25.0,320,8000,3200,Online,2021,2021-11
Foot Locker,New York,Men's Athletic Footwear,36.0,320,1152,403,Outlet,2020,2020-01
Foot Locker,New York,Women's Apparel,44.0,320,1408,408,Outlet,2020,2020-03
Foot Locker,New York,Men's Street Footwear,59.0,319,1882,1129,Online,2020,2020-03
Walmart,Texas,Women's Street Footwear,37.0,319,1180,531,Online,2020,2020-08
Foot Locker,Florida,Men's Street Footwear,43.0,319,1372,782,Online,2020,2020-08
Foot Locker,New York,Men's Athletic Footwear,41.0,318,1304,482,Outlet,2020,2020-03
Foot Locker,New York,Men's Street Footwear,54.0,317,1712,1096,Online,2020,2020-02
Foot Locker,New York,Men's Athletic Footwear,39.0,315,1229,405,Outlet,2020,2020-01
Foot Locker,New York,Men's Athletic Footwear,35.0,315,1103,397,Outlet,2020,2020-01
Foot Locker,New York,Men's Athletic Footwear,35.0,315,1103,364,Outlet,2020,2020-02
Foot Locker,New York,Women's Street Footwear,28.0,315,882,335,Outlet,2020,2020-02
Walmart,New York,Women's Street Footwear,36.0,315,1134,442,Outlet,2020,2020-04
Walmart,New York,Men's Apparel,44.0,315,1386,513,Outlet,2020,2020-04
Walmart,Texas,Men's Street Footwear,24.0,315,756,295,Outlet,2020,2020-08
Walmart,Texas,Women's Street Footwear,36.0,315,1134,431,Outlet,2020,2020-09
Kohl's,California,Men's Street Footwear,39.0,315,1229,565,Outlet,2021,2021-05
Foot Locker,New York,Women's Street Footwear,27.0,314,848,348,Outlet,2020,2020-01
Foot Locker,New York,Women's Street Footwear,37.0,314,1162,430,Outlet,2020,2020-03
Sports Direct,Tennessee,Women's Street Footwear,39.0,314,1225,576,Outlet,2021,2021-04
Foot Locker,New York,Men's Street Footwear,46.0,313,1440,893,Online,2020,2020-01
Foot Locker,New York,Men's Street Footwear,55.0,313,1722,1050,Online,2020,2020-03
Walmart,New York,Men's Street Footwear,62.0,312,1934,1238,Online,2020,2020-05
Foot Locker,Georgia,Men's Street Footwear,38.0,312,1186,700,Online,2021,2021-02
Walmart,New York,Men's Athletic Footwear,40.0,312,1248,449,Outlet,2020,2020-04
Foot Locker,South Carolina,Men's Street Footwear,63.0,311,1959,1156,Online,2021,2021-07
Walmart,New York,Men's Athletic Footwear,43.0,310,1333,467,Outlet,2020,2020-05
Foot Locker,New York,Men's Athletic Footwear,53.0,308,1632,669,Online,2020,2020-03
Sports Direct,North Carolina,Men's Street Footwear,61.0,308,1879,996,Online,2021,2021-08
Foot Locker,New York,Men's Apparel,43.0,306,1316,487,Outlet,2020,2020-01
Foot Locker,New York,Men's Apparel,43.0,306,1316,461,Outlet,2020,2020-01
Walmart,New York,Women's Athletic Footwear,34.0,306,1040,406,Outlet,2020,2020-04
Walmart,New York,Women's Athletic Footwear,41.0,306,1255,502,Outlet,2020,2020-05
Sports Direct,Texas,Men's Street Footwear,20.0,306,612,257,Outlet,2020,2020-07
Sports Direct,Texas,Men's Street Footwear,23.0,306,704,260,Outlet,2020,2020-08
Sports Direct,Texas,Men's Athletic Footwear,29.0,306,887,364,Outlet,2020,2020-08
Walmart,Texas,Men's Athletic Footwear,31.0,306,949,379,Outlet,2020,2020-10
Walmart,Texas,Women's Apparel,41.0,306,1255,690,Outlet,2020,2020-10
West Gear,California,Women's Apparel,60.0,306,1836,477,Outlet,2021,2021-01
West Gear,California,Men's Athletic Footwear,46.0,306,1408,282,Outlet,2021,2021-02
Kohl's,California,Men's Street Footwear,36.0,306,1102,496,Outlet,2021,2021-05
Sports Direct,Tennessee,Women's Apparel,37.0,306,1132,668,Outlet,2021,2021-04
West Gear,Louisiana,Men's Street Footwear,62.0,306,1897,816,Outlet,2021,2021-07
Foot Locker,New York,Women's Apparel,64.0,305,1952,761,Online,2020,2020-03
Walmart,Texas,Men's Street Footwear,27.0,305,824,305,Outlet,2020,2020-08
Walmart,Texas,Men's Athletic Footwear,33.0,305,1007,382,Outlet,2020,2020-08
Foot Locker,Idaho,Women's Street Footwear,39.0,305,1190,511,Outlet,2021,2021-08
West Gear,Florida,Men's Street Footwear,60.0,304,1824,1040,Online,2020,2020-09
Walmart,Texas,Women's Apparel,36.0,302,1087,565,Outlet,2020,2020-08
West Gear,California,Men's Street Footwear,45.0,302,1359,544,Outlet,2021,2021-01
Sports Direct,Tennessee,Men's Apparel,30.0,300,9000,3150,Outlet,2021,2021-04
Sports Direct,Alabama,Men's Apparel,30.0,300,9000,4050,Outlet,2021,2021-09
Foot Locker,Missouri,Women's Street Footwear,30.0,300,9000,3150,In-store,2021,2021-05
Foot Locker,Missouri,Women's Street Footwear,15.0,300,4500,1575,In-store,2021,2021-09
West Gear,Utah,Women's Athletic Footwear,20.0,300,6000,2400,In-store,2021,2021-02
West Gear,Utah,Women's Street Footwear,20.0,300,6000,2100,In-store,2021,2021-10
Amazon,Ohio,Women's Street Footwear,30.0,300,9000,3600,Online,2021,2021-01
Foot Locker,Mississippi,Women's Athletic Footwear,20.0,300,6000,2400,Online,2021,2021-04
Sports Direct,Mississippi,Women's Athletic Footwear,20.0,300,6000,2400,Online,2021,2021-01
Walmart,Arkansas,Men's Athletic Footwear,25.0,300,7500,2625,Online,2021,2021-04
Walmart,Arkansas,Women's Street Footwear,15.0,300,4500,1800,Online,2021,2021-04
Walmart,Arkansas,Women's Street Footwear,20.0,300,6000,2400,Online,2021,2021-10
Kohl's,Oklahoma,Men's Athletic Footwear,15.0,300,4500,1575,Online,2021,2021-11
Kohl's,Oklahoma,Women's Street Footwear,15.0,300,4500,1575,Online,2021,2021-02
Kohl's,Kansas,Women's Apparel,30.0,300,9000,3150,Online,2021,2021-04
Foot Locker,Kansas,Women's Apparel,30.0,300,9000,3150,Online,2021,2021-10
West Gear,Wisconsin,Men's Athletic Footwear,30.0,300,9000,3150,In-store,2021,2021-06
West Gear,Wisconsin,Women's Street Footwear,25.0,300,7500,2625,In-store,2021,2021-01
West Gear,Indiana,Women's Apparel,20.0,300,6000,2400,In-store,2021,2021-02
West Gear,Indiana,Women's Street Footwear,25.0,300,7500,3000,In-store,2021,2021-01
West Gear,Indiana,Women's Street Footwear,30.0,300,9000,3600,In-store,2021,2021-02
Sports Direct,New Jersey,Women's Street Footwear,30.0,300,9000,2700,In-store,2021,2021-01
Foot Locker,New York,Men's Street Footwear,45.0,300,1350,837,Online,2020,2020-01
Walmart,New York,Men's Athletic Footwear,51.0,300,1530,643,Online,2020,2020-05
West Gear,Florida,Men's Street Footwear,52.0,300,1560,874,Online,2020,2020-04
Walmart,New York,Men's Street Footwear,60.0,299,1794,1076,Online,2020,2020-04
West Gear,Florida,Men's Street Footwear,60.0,299,1794,1076,Online,2020,2020-09
Walmart,Texas,Women's Apparel,42.0,298,1252,713,Outlet,2020,2020-09
Walmart,Texas,Women's Street Footwear,38.0,298,1132,430,Outlet,2020,2020-10
West Gear,Oregon,Men's Street Footwear,60.0,298,1788,751,Outlet,2021,2021-07
Walmart,Texas,Women's Street Footwear,39.0,297,1158,533,Online,2020,2020-09
Foot Locker,New York,Women's Athletic Footwear,38.0,297,1129,429,Outlet,2020,2020-03
Kohl's,California,Men's Street Footwear,36.0,297,1069,470,Outlet,2021,2021-04
Walmart,Florida,Men's Street Footwear,68.0,297,2020,747,Outlet,2021,2021-07
Foot Locker,New York,Men's Athletic Footwear,37.0,296,1095,383,Outlet,2020,2020-02
Foot Locker,New York,Women's Street Footwear,37.0,296,1095,449,Outlet,2020,2020-03
Foot Locker,Missouri,Women's Street Footwear,25.0,295,7375,2581,In-store,2021,2021-11
Foot Locker,New York,Women's Street Footwear,35.0,295,1033,434,Outlet,2020,2020-03
Walmart,Texas,Women's Apparel,32.0,295,944,538,Outlet,2020,2020-08
Walmart,Texas,Men's Street Footwear,28.0,295,826,339,Outlet,2020,2020-08
Walmart,Texas,Men's Street Footwear,29.0,295,856,342,Outlet,2020,2020-08
Sports Direct,North Carolina,Men's Street Footwear,60.0,294,1764,882,Online,2021,2021-07
Walmart,New York,Women's Street Footwear,43.0,294,1264,531,Outlet,2020,2020-04
Walmart,Texas,Women's Apparel,47.0,293,1377,868,Online,2020,2020-08
West Gear,California,Men's Street Footwear,51.0,293,1494,598,Online,2021,2021-02
Foot Locker,New York,Women's Apparel,48.0,290,1392,529,Online,2020,2020-01
Foot Locker,New York,Women's Apparel,59.0,290,1711,616,Online,2020,2020-03
Walmart,New York,Women's Apparel,62.0,290,1798,665,Online,2020,2020-04
Walmart,New York,Women's Apparel,68.0,290,1972,749,Online,2020,2020-04
Walmart,New York,Women's Apparel,68.0,290,1972,690,Online,2020,2020-07
West Gear,Florida,Men's Street Footwear,55.0,290,1595,941,Online,2020,2020-04
Foot Locker,South Carolina,Men's Street Footwear,67.0,290,1943,1166,Online,2021,2021-12
Foot Locker,New York,Men's Apparel,43.0,289,1243,398,Outlet,2020,2020-01
Foot Locker,New York,Women's Athletic Footwear,31.0,289,896,331,Outlet,2020,2020-02
Foot Locker,New York,Women's Athletic Footwear,33.0,289,954,381,Outlet,2020,2020-02
Walmart,New York,Men's Apparel,51.0,289,1474,472,Outlet,2020,2020-04
Sports Direct,Texas,Men's Athletic Footwear,23.0,289,665,279,Outlet,2020,2020-07
Walmart,Texas,Women's Apparel,44.0,289,1272,725,Outlet,2020,2020-10
West Gear,California,Men's Street Footwear,28.0,289,809,340,Outlet,2020,2020-11
West Gear,California,Men's Street Footwear,36.0,289,1040,343,Outlet,2021,2021-01
Kohl's,California,Men's Street Footwear,38.0,289,1098,505,Outlet,2021,2021-05
Foot Locker,Mississippi,Men's Street Footwear,47.0,289,1358,625,Outlet,2021,2021-07
Foot Locker,New York,Women's Street Footwear,36.0,288,1037,435,Outlet,2020,2020-02
Foot Locker,New York,Men's Apparel,45.0,288,1296,441,Outlet,2020,2020-03
Kohl's,California,Men's Athletic Footwear,42.0,288,1210,339,Outlet,2021,2021-05
West Gear,Florida,Men's Street Footwear,36.0,288,1037,487,Outlet,2021,2021-02
Foot Locker,South Carolina,Men's Street Footwear,51.0,287,1464,849,Online,2021,2021-09
Walmart,Texas,Men's Athletic Footwear,30.0,287,861,362,Outlet,2020,2020-08
West Gear,California,Men's Street Footwear,40.0,287,1148,402,Outlet,2021,2021-01
West Gear,California,Men's Athletic Footwear,42.0,287,1205,205,Outlet,2021,2021-01
Foot Locker,New York,Women's Apparel,61.0,286,1745,698,Online,2020,2020-03
Walmart,New York,Women's Street Footwear,54.0,285,1539,723,Online,2020,2020-05
Walmart,Texas,Men's Athletic Footwear,44.0,285,1254,602,Online,2020,2020-10
Sports Direct,Tennessee,Women's Street Footwear,46.0,285,1311,787,Online,2021,2021-04
Walmart,Texas,Men's Athletic Footwear,32.0,285,912,383,Outlet,2020,2020-08
Kohl's,California,Men's Street Footwear,30.0,285,855,402,Outlet,2021,2021-04
Foot Locker,Florida,Men's Street Footwear,53.0,284,1505,828,Online,2020,2020-09
Foot Locker,South Carolina,Men's Street Footwear,33.0,283,934,532,Online,2021,2021-04
Foot Locker,South Carolina,Men's Street Footwear,48.0,282,1354,744,Online,2021,2021-05
Foot Locker,New York,Women's Athletic Footwear,36.0,281,1012,374,Outlet,2020,2020-01
Foot Locker,New York,Men's Apparel,44.0,281,1236,445,Outlet,2020,2020-02
Walmart,Texas,Women's Street Footwear,34.0,281,955,373,Outlet,2020,2020-10
West Gear,California,Women's Street Footwear,42.0,281,1180,531,Outlet,2021,2021-01
Sports Direct,Texas,Men's Street Footwear,46.0,281,1293,608,Outlet,2021,2021-10
Foot Locker,Georgia,Women's Apparel,30.0,281,843,447,Outlet,2021,2021-01
Walmart,New York,Women's Apparel,59.0,280,1652,661,Online,2020,2020-04
Foot Locker,New York,Men's Apparel,47.0,280,1316,461,Outlet,2020,2020-02
Walmart,New York,Men's Apparel,47.0,280,1316,474,Outlet,2020,2020-05
West Gear,California,Men's Athletic Footwear,39.0,280,1092,197,Outlet,2021,2021-01
Sports Direct,Texas,Men's Athletic Footwear,40.0,280,1120,459,Outlet,2021,2021-09
Sports Direct,Texas,Women's Apparel,42.0,280,1176,647,Outlet,2021,2021-09
Sports Direct,Alabama,Women's Apparel,36.0,280,1008,645,Outlet,2021,2021-09
Sports Direct,Alabama,Women's Apparel,47.0,280,1316,921,Outlet,2021,2021-09
Walmart,Florida,Men's Street Footwear,58.0,280,1624,585,Outlet,2021,2021-12
Walmart,New York,Men's Apparel,43.0,279,1200,396,Outlet,2020,2020-04
Walmart,New York,Men's Apparel,48.0,279,1339,496,Outlet,2020,2020-05
Foot Locker,New York,Women's Street Footwear,46.0,278,1279,614,Online,2020,2020-03
Foot Locker,Florida,Women's Apparel,56.0,278,1557,950,Online,2020,2020-09
Foot Locker,South Carolina,Women's Apparel,58.0,278,1612,984,Online,2021,2021-08
Foot Locker,South Carolina,Men's Street Footwear,50.0,278,1390,792,Online,2021,2021-11
Foot Locker,New York,Men's Apparel,46.0,278,1279,435,Outlet,2020,2020-03
West Gear,California,Men's Athletic Footwear,47.0,278,1307,287,Outlet,2021,2021-01
Sports Direct,Alabama,Women's Street Footwear,36.0,278,1001,530,Outlet,2021,2021-09
West Gear,Idaho,Women's Street Footwear,34.0,278,945,397,Outlet,2021,2021-07
West Gear,California,Men's Street Footwear,56.0,277,1551,698,Online,2021,2021-01
Foot Locker,New York,Women's Street Footwear,36.0,276,994,467,Online,2020,2020-01
Walmart,Texas,Women's Apparel,37.0,276,1021,643,Online,2020,2020-08
Sports Direct,North Carolina,Men's Street Footwear,28.0,276,773,417,Online,2021,2021-03
Sports Direct,Alabama,Men's Apparel,25.0,275,6875,2750,Outlet,2021,2021-08
Foot Locker,Michigan,Women's Athletic Footwear,25.0,275,6875,2750,In-store,2021,2021-01
Foot Locker,Missouri,Men's Athletic Footwear,30.0,275,8250,2888,In-store,2021,2021-04
Foot Locker,Missouri,Women's Street Footwear,20.0,275,5500,1925,In-store,2021,2021-04
Foot Locker,Missouri,Women's Athletic Footwear,15.0,275,4125,1650,In-store,2021,2021-09
Foot Locker,Missouri,Men's Apparel,25.0,275,6875,2406,In-store,2021,2021-09
West Gear,Utah,Women's Athletic Footwear,25.0,275,6875,2750,In-store,2021,2021-05
West Gear,Utah,Women's Athletic Footwear,20.0,275,5500,2200,In-store,2021,2021-10
West Gear,Utah,Men's Apparel,30.0,275,8250,2888,In-store,2021,2021-10
Foot Locker,Mississippi,Women's Athletic Footwear,20.0,275,5500,2200,Online,2021,2021-03
Walmart,Arkansas,Women's Athletic Footwear,20.0,275,5500,2200,Online,2021,2021-10
Walmart,Arkansas,Men's Apparel,30.0,275,8250,2888,Online,2021,2021-10
West Gear,Arkansas,Men's Athletic Footwear,25.0,275,6875,2406,Online,2021,2021-02
West Gear,Oklahoma,Women's Street Footwear,10.0,275,2750,1100,Online,2021,2021-03
West Gear,Oklahoma,Women's Apparel,25.0,275,6875,2750,Online,2021,2021-03
West Gear,Oklahoma,Women's Street Footwear,15.0,275,4125,1650,Online,2021,2021-09
Foot Locker,Kansas,Men's Athletic Footwear,15.0,275,4125,1444,Online,2021,2021-11
Foot Locker,Kansas,Women's Street Footwear,30.0,275,8250,2475,Online,2021,2021-01
Sports Direct,South Dakota,Women's Street Footwear,25.0,275,6875,2063,Online,2021,2021-01
Sports Direct,North Dakota,Women's Apparel,25.0,275,6875,2750,Online,2021,2021-02
Foot Locker,Iowa,Men's Athletic Footwear,30.0,275,8250,2888,In-store,2021,2021-06
Foot Locker,Iowa,Men's Athletic Footwear,30.0,275,8250,2888,In-store,2021,2021-09
West Gear,Indiana,Women's Street Footwear,15.0,275,4125,1444,In-store,2021,2021-03
West Gear,Indiana,Women's Apparel,25.0,275,6875,2750,In-store,2021,2021-03
West Gear,Indiana,Men's Athletic Footwear,30.0,275,8250,3300,In-store,2021,2021-09
West Gear,West Virginia,Men's Athletic Footwear,30.0,275,8250,3300,In-store,2021,2021-03
Foot Locker,Maryland,Women's Street Footwear,30.0,275,8250,3300,In-store,2021,2021-02
Foot Locker,Delaware,Women's Street Footwear,30.0,275,8250,3300,In-store,2021,2021-03
Kohl's,Delaware,Women's Street Footwear,25.0,275,6875,2750,In-store,2021,2021-01
Walmart,New York,Men's Athletic Footwear,53.0,273,1447,622,Online,2020,2020-04
West Gear,California,Men's Street Footwear,56.0,273,1529,764,Online,2021,2021-01
West Gear,California,Men's Street Footwear,62.0,273,1693,779,Online,2021,2021-01
West Gear,California,Men's Athletic Footwear,58.0,273,1583,428,Online,2021,2021-02
Sports Direct,Texas,Women's Street Footwear,46.0,273,1256,691,Online,2021,2021-09
Foot Locker,Washington,Men's Street Footwear,44.0,273,1201,661,Online,2020,2020-08
Foot Locker,South Carolina,Men's Street Footwear,51.0,273,1392,780,Online,2021,2021-06
Walmart,Texas,Women's Apparel,27.0,272,734,404,Outlet,2020,2020-08
Walmart,Texas,Men's Street Footwear,31.0,272,843,329,Outlet,2020,2020-09
West Gear,California,Men's Street Footwear,36.0,272,979,382,Outlet,2020,2020-11
Kohl's,California,Men's Athletic Footwear,37.0,272,1006,292,Outlet,2021,2021-04
Kohl's,California,Men's Street Footwear,40.0,272,1088,500,Outlet,2021,2021-05
Sports Direct,Texas,Women's Apparel,47.0,272,1278,729,Outlet,2021,2021-09
Sports Direct,Tennessee,Men's Street Footwear,29.0,272,789,394,Outlet,2021,2021-04
Sports Direct,Tennessee,Women's Apparel,38.0,272,1034,641,Outlet,2021,2021-04
